Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Punjab,Pakistan,6/19/2021 4:22,30.811346,72.139132,344799,10615,323925,10259,"Punjab, Pakistan",313.4181859,3.078605216
Sindh,Pakistan,6/19/2021 4:22,26.009446,68.776807,331094,5314,305933,19847,"Sindh, Pakistan",691.4205559,1.604982271
Azad Jammu and Kashmir,Pakistan,6/20/2021 4:21,34.027401,73.947253,19893,571,18882,440,"Azad Jammu and Kashmir, Pakistan",491.7478419,2.870356407
Balochistan,Pakistan,6/20/2021 4:21,28.328492,65.898403,26529,300,25468,761,"Balochistan, Pakistan",214.9070251,1.130837951
Gilgit-Baltistan,Pakistan,6/20/2021 4:21,35.792146,74.982138,5771,108,5566,97,"Gilgit-Baltistan, Pakistan",569.3657358,1.871426096
Islamabad,Pakistan,6/20/2021 4:21,33.665087,73.121219,82313,775,80335,1203,"Islamabad, Pakistan",4102.170268,0.94152807
Khyber Pakhtunkhwa,Pakistan,6/20/2021 4:21,34.485332,72.09169,136819,4257,129678,2884,"Khyber Pakhtunkhwa, Pakistan",448.2434132,3.111409965
Punjab,Pakistan,6/20/2021 4:21,30.811346,72.139132,344799,10615,323925,10259,"Punjab, Pakistan",313.4181859,3.078605216
Sindh,Pakistan,6/20/2021 4:21,26.009446,68.776807,331094,5314,305933,19847,"Sindh, Pakistan",691.4205559,1.604982271
Azad Jammu and Kashmir,Pakistan,6/21/2021 4:21,34.027401,73.947253,19967,571,18936,460,"Azad Jammu and Kashmir, Pakistan",493.5770954,2.859718536
Balochistan,Pakistan,6/21/2021 4:21,28.328492,65.898403,26633,301,25579,753,"Balochistan, Pakistan",215.7495118,1.130176848
Gilgit-Baltistan,Pakistan,6/21/2021 4:21,35.792146,74.982138,5813,108,5569,136,"Gilgit-Baltistan, Pakistan",573.5094477,1.857904696
Islamabad,Pakistan,6/21/2021 4:21,33.665087,73.121219,82368,775,80463,1130,"Islamabad, Pakistan",4104.911262,0.940899378
Khyber Pakhtunkhwa,Pakistan,6/21/2021 4:21,34.485332,72.09169,137075,4269,130535,2271,"Khyber Pakhtunkhwa, Pakistan",449.0821148,3.114353456
Punjab,Pakistan,6/21/2021 4:21,30.811346,72.139132,345065,10642,324768,9655,"Punjab, Pakistan",313.6599768,3.084056627
Sindh,Pakistan,6/21/2021 4:21,26.009446,68.776807,332254,5341,307298,19615,"Sindh, Pakistan",693.8429732,1.607505102
Azad Jammu and Kashmir,Pakistan,6/22/2021 4:21,34.027401,73.947253,19979,573,18974,432,"Azad Jammu and Kashmir, Pakistan",493.8737311,2.868011412
Balochistan,Pakistan,6/22/2021 4:21,28.328492,65.898403,26673,301,25658,714,"Balochistan, Pakistan",216.0735452,1.128481986
Gilgit-Baltistan,Pakistan,6/22/2021 4:21,35.792146,74.982138,5827,108,5570,149,"Gilgit-Baltistan, Pakistan",574.8906849,1.853440879
Islamabad,Pakistan,6/22/2021 4:21,33.665087,73.121219,82394,775,80566,1053,"Islamabad, Pakistan",4106.207004,0.940602471
Khyber Pakhtunkhwa,Pakistan,6/22/2021 4:21,34.485332,72.09169,137147,4274,130668,2205,"Khyber Pakhtunkhwa, Pakistan",449.3179996,3.116364193
Punjab,Pakistan,6/22/2021 4:21,30.811346,72.139132,345141,10659,325136,9346,"Punjab, Pakistan",313.7290598,3.088303041
Sindh,Pakistan,6/22/2021 4:21,26.009446,68.776807,332677,5344,307780,19553,"Sindh, Pakistan",694.7263202,1.606362929
Azad Jammu and Kashmir,Pakistan,6/23/2021 4:21,34.027401,73.947253,20019,574,19031,414,"Azad Jammu and Kashmir, Pakistan",494.8625168,2.867276088
Balochistan,Pakistan,6/23/2021 4:21,28.328492,65.898403,26776,303,25724,749,"Balochistan, Pakistan",216.9079311,1.131610397
Gilgit-Baltistan,Pakistan,6/23/2021 4:21,35.792146,74.982138,5850,111,5610,129,"Gilgit-Baltistan, Pakistan",577.1598605,1.897435897
Islamabad,Pakistan,6/23/2021 4:21,33.665087,73.121219,82431,775,80624,1032,"Islamabad, Pakistan",4108.050945,0.940180272
Khyber Pakhtunkhwa,Pakistan,6/23/2021 4:21,34.485332,72.09169,137247,4280,130898,2069,"Khyber Pakhtunkhwa, Pakistan",449.6456175,3.118465249
Punjab,Pakistan,6/23/2021 4:21,30.811346,72.139132,345251,10672,325234,9345,"Punjab, Pakistan",313.8290485,3.091084457
Sindh,Pakistan,6/23/2021 4:21,26.009446,68.776807,333194,5358,308569,19267,"Sindh, Pakistan",695.8059665,1.608072174
Azad Jammu and Kashmir,Pakistan,6/24/2021 4:21,34.027401,73.947253,20064,574,19068,422,"Azad Jammu and Kashmir, Pakistan",495.9749007,2.860845295
Balochistan,Pakistan,6/24/2021 4:21,28.328492,65.898403,26845,303,25770,772,"Balochistan, Pakistan",217.4668887,1.128701807
Gilgit-Baltistan,Pakistan,6/24/2021 4:21,35.792146,74.982138,5869,111,5627,131,"Gilgit-Baltistan, Pakistan",579.0343968,1.891293236
Islamabad,Pakistan,6/24/2021 4:21,33.665087,73.121219,82470,775,80658,1037,"Islamabad, Pakistan",4109.994558,0.939735661
Khyber Pakhtunkhwa,Pakistan,6/24/2021 4:21,34.485332,72.09169,137370,4289,131142,1939,"Khyber Pakhtunkhwa, Pakistan",450.0485874,3.122224649
Punjab,Pakistan,6/24/2021 4:21,30.811346,72.139132,345449,10688,325486,9275,"Punjab, Pakistan",314.0090282,3.093944403
Sindh,Pakistan,6/24/2021 4:21,26.009446,68.776807,333798,5368,309070,19360,"Sindh, Pakistan",697.0672942,1.608158227
Azad Jammu and Kashmir,Pakistan,6/25/2021 4:21,34.027401,73.947253,20121,576,19110,435,"Azad Jammu and Kashmir, Pakistan",497.3839203,2.862680781
Balochistan,Pakistan,6/25/2021 4:21,28.328492,65.898403,26893,304,25796,793,"Balochistan, Pakistan",217.8557287,1.130405682
Gilgit-Baltistan,Pakistan,6/25/2021 4:21,35.792146,74.982138,5908,111,5632,165,"Gilgit-Baltistan, Pakistan",582.8821292,1.878808395
Islamabad,Pakistan,6/25/2021 4:21,33.665087,73.121219,82502,775,80698,1029,"Islamabad, Pakistan",4111.589318,0.939371167
Khyber Pakhtunkhwa,Pakistan,6/25/2021 4:21,34.485332,72.09169,137484,4294,131318,1872,"Khyber Pakhtunkhwa, Pakistan",450.4220717,3.123272526
Punjab,Pakistan,6/25/2021 4:21,30.811346,72.139132,345546,10700,325784,9062,"Punjab, Pakistan",314.0972,3.096548651
Sindh,Pakistan,6/25/2021 4:21,26.009446,68.776807,334453,5392,309496,19565,"Sindh, Pakistan",698.4351247,1.612184672
Azad Jammu and Kashmir,Pakistan,6/26/2021 4:21,34.027401,73.947253,20173,578,19158,437,"Azad Jammu and Kashmir, Pakistan",498.6693417,2.865215883
Balochistan,Pakistan,6/26/2021 4:21,28.328492,65.898403,26932,305,25851,776,"Balochistan, Pakistan",218.1716612,1.132481806
Gilgit-Baltistan,Pakistan,6/26/2021 4:21,35.792146,74.982138,5950,111,5657,182,"Gilgit-Baltistan, Pakistan",587.025841,1.865546218
Islamabad,Pakistan,6/26/2021 4:21,33.665087,73.121219,82528,776,80757,995,"Islamabad, Pakistan",4112.88506,0.940286933
Khyber Pakhtunkhwa,Pakistan,6/26/2021 4:21,34.485332,72.09169,137560,4298,131396,1866,"Khyber Pakhtunkhwa, Pakistan",450.6710612,3.124454783
Punjab,Pakistan,6/26/2021 4:21,30.811346,72.139132,345655,10713,326029,8913,"Punjab, Pakistan",314.1962797,3.09933315
Sindh,Pakistan,6/26/2021 4:21,26.009446,68.776807,335044,5407,310096,19541,"Sindh, Pakistan",699.6693045,1.613817887
Azad Jammu and Kashmir,Pakistan,6/27/2021 4:21,34.027401,73.947253,20212,582,19196,434,"Azad Jammu and Kashmir, Pakistan",499.6334077,2.879477538
Balochistan,Pakistan,6/27/2021 4:21,28.328492,65.898403,27003,307,25874,822,"Balochistan, Pakistan",218.7468204,1.136910714
Gilgit-Baltistan,Pakistan,6/27/2021 4:21,35.792146,74.982138,5984,111,5657,216,"Gilgit-Baltistan, Pakistan",590.3802744,1.854946524
Islamabad,Pakistan,6/27/2021 4:21,33.665087,73.121219,82565,776,80815,974,"Islamabad, Pakistan",4114.729001,0.93986556
Khyber Pakhtunkhwa,Pakistan,6/27/2021 4:21,34.485332,72.09169,137628,4304,131513,1811,"Khyber Pakhtunkhwa, Pakistan",450.8938413,3.127270614
Punjab,Pakistan,6/27/2021 4:21,30.811346,72.139132,345796,10721,326231,8844,"Punjab, Pakistan",314.324447,3.100382885
Sindh,Pakistan,6/27/2021 4:21,26.009446,68.776807,335555,5410,311005,19140,"Sindh, Pakistan",700.7364211,1.612254325
Azad Jammu and Kashmir,Pakistan,6/28/2021 4:21,34.027401,73.947253,20243,582,19224,437,"Azad Jammu and Kashmir, Pakistan",500.3997166,2.875067925
Balochistan,Pakistan,6/28/2021 4:21,28.328492,65.898403,27064,307,25920,837,"Balochistan, Pakistan",219.2409713,1.134348212
Gilgit-Baltistan,Pakistan,6/28/2021 4:21,35.792146,74.982138,6019,111,5685,223,"Gilgit-Baltistan, Pakistan",593.8333675,1.844160159
Islamabad,Pakistan,6/28/2021 4:21,33.665087,73.121219,82596,776,80860,960,"Islamabad, Pakistan",4116.273924,0.939512809
Khyber Pakhtunkhwa,Pakistan,6/28/2021 4:21,34.485332,72.09169,137759,4308,131626,1825,"Khyber Pakhtunkhwa, Pakistan",451.3230206,3.127200401
Punjab,Pakistan,6/28/2021 4:21,30.811346,72.139132,345900,10729,326512,8659,"Punjab, Pakistan",314.4189818,3.101763515
Sindh,Pakistan,6/28/2021 4:21,26.009446,68.776807,336076,5418,311374,19284,"Sindh, Pakistan",701.8244206,1.61213535
Azad Jammu and Kashmir,Pakistan,6/29/2021 4:21,34.027401,73.947253,20256,582,19247,427,"Azad Jammu and Kashmir, Pakistan",500.721072,2.873222749
Balochistan,Pakistan,6/29/2021 4:21,28.328492,65.898403,27083,307,25979,797,"Balochistan, Pakistan",219.3948871,1.133552413
Gilgit-Baltistan,Pakistan,6/29/2021 4:21,35.792146,74.982138,6060,111,5728,221,"Gilgit-Baltistan, Pakistan",597.8784195,1.831683168
Islamabad,Pakistan,6/29/2021 4:21,33.665087,73.121219,82619,776,80885,958,"Islamabad, Pakistan",4117.420157,0.939251262
Khyber Pakhtunkhwa,Pakistan,6/29/2021 4:21,34.485332,72.09169,137831,4311,131698,1822,"Khyber Pakhtunkhwa, Pakistan",451.5589055,3.127743396
Punjab,Pakistan,6/29/2021 4:21,30.811346,72.139132,346036,10740,326669,8627,"Punjab, Pakistan",314.5426042,3.103723312
Sindh,Pakistan,6/29/2021 4:21,26.009446,68.776807,336507,5427,311779,19301,"Sindh, Pakistan",702.724474,1.612745054
Azad Jammu and Kashmir,Pakistan,6/30/2021 4:21,34.027401,73.947253,20293,582,19278,433,"Azad Jammu and Kashmir, Pakistan",501.6356987,2.867984034
Balochistan,Pakistan,6/30/2021 4:21,28.328492,65.898403,27145,308,26136,701,"Balochistan, Pakistan",219.8971389,1.134647265
Gilgit-Baltistan,Pakistan,6/30/2021 4:21,35.792146,74.982138,6098,111,5728,259,"Gilgit-Baltistan, Pakistan",601.6274921,1.820268941
